date,low,volume,open,close,high,adjclose
1999-01-04,1219.0999755859375,877000000,1229.22998046875,1228.0999755859375,1248.81005859375,1228.0999755859375
1999-01-05,1228.0999755859375,775000000,1228.0999755859375,1244.780029296875,1246.1099853515625,1244.780029296875
1999-01-06,1244.780029296875,986900000,1244.780029296875,1272.3399658203125,1272.5,1272.3399658203125
1999-01-07,1257.6800537109375,863000000,1272.3399658203125,1269.72998046875,1272.3399658203125,1269.72998046875
1999-01-08,1261.8199462890625,937800000,1269.72998046875,1275.0899658203125,1278.239990234375,1275.0899658203125
1999-01-11,1253.3399658203125,818000000,1275.0899658203125,1263.8800048828125,1276.219970703125,1263.8800048828125
1999-01-12,1238.2900390625,800200000,1263.8800048828125,1239.510009765625,1264.449951171875,1239.510009765625
1999-01-13,1205.4599609375,931500000,1239.510009765625,1234.4000244140625,1247.75,1234.4000244140625
1999-01-14,1209.5400390625,797200000,1234.4000244140625,1212.18994140625,1236.81005859375,1212.18994140625
1999-01-15,1212.18994140625,798100000,1212.18994140625,1243.260009765625,1243.260009765625,1243.260009765625
1999-01-19,1234.9100341796875,785500000,1243.260009765625,1252.0,1253.27001953125,1252.0
1999-01-20,1251.5400390625,905700000,1252.0,1256.6199951171875,1274.0699462890625,1256.6199951171875
1999-01-21,1232.18994140625,871800000,1256.6199951171875,1235.1600341796875,1256.93994140625,1235.1600341796875
1999-01-22,1217.969970703125,785900000,1235.1600341796875,1225.18994140625,1236.4100341796875,1225.18994140625
1999-01-25,1219.4599609375,723900000,1225.18994140625,1233.97998046875,1233.97998046875,1233.97998046875
1999-01-26,1233.97998046875,896400000,1233.97998046875,1252.31005859375,1253.25,1252.31005859375
1999-01-27,1242.8199462890625,893800000,1252.31005859375,1243.1700439453125,1262.6099853515625,1243.1700439453125
1999-01-28,1243.1700439453125,848800000,1243.1700439453125,1265.3699951171875,1266.4000244140625,1265.3699951171875
1999-01-29,1255.1800537109375,917000000,1265.3699951171875,1279.6400146484375,1280.3699951171875,1279.6400146484375
1999-02-01,1271.31005859375,799400000,1279.6400146484375,1273.0,1283.75,1273.0
1999-02-02,1247.56005859375,845500000,1273.0,1261.989990234375,1273.489990234375,1261.989990234375
1999-02-03,1255.27001953125,876500000,1261.989990234375,1272.0699462890625,1276.0400390625,1272.0699462890625
1999-02-04,1248.3599853515625,854400000,1272.0699462890625,1248.489990234375,1272.22998046875,1248.489990234375
1999-02-05,1232.280029296875,872000000,1248.489990234375,1239.4000244140625,1251.8599853515625,1239.4000244140625
1999-02-08,1231.97998046875,705400000,1239.4000244140625,1243.77001953125,1246.9300537109375,1243.77001953125
1999-02-09,1215.6300048828125,736000000,1243.77001953125,1216.1400146484375,1243.969970703125,1216.1400146484375
1999-02-10,1211.8900146484375,721400000,1216.1400146484375,1223.550048828125,1226.780029296875,1223.550048828125
1999-02-11,1223.18994140625,815800000,1223.550048828125,1254.0400390625,1254.050048828125,1254.0400390625
1999-02-12,1225.530029296875,691500000,1254.0400390625,1230.1300048828125,1254.0400390625,1230.1300048828125
1999-02-16,1230.1300048828125,653760000,1230.1300048828125,1241.8699951171875,1252.1700439453125,1241.8699951171875
